dc (V),/NM0/D w 1e-06 vds 0.5  (A),/NM0/D w 1e-06 vds 0.7222222  (A),/NM0/D w 1e-06 vds 0.9444444  (A),/NM0/D w 1e-06 vds 1.166667  (A),/NM0/D w 1e-06 vds 1.388889  (A),/NM0/D w 1e-06 vds 1.611111  (A),/NM0/D w 1e-06 vds 1.833333  (A),/NM0/D w 1e-06 vds 2.055556  (A),/NM0/D w 1e-06 vds 2.277778  (A),/NM0/D w 1e-06 vds 2.5  (A),/NM0/D w 7e-06 vds 0.5  (A),/NM0/D w 7e-06 vds 0.7222222  (A),/NM0/D w 7e-06 vds 0.9444444  (A),/NM0/D w 7e-06 vds 1.166667  (A),/NM0/D w 7e-06 vds 1.388889  (A),/NM0/D w 7e-06 vds 1.611111  (A),/NM0/D w 7e-06 vds 1.833333  (A),/NM0/D w 7e-06 vds 2.055556  (A),/NM0/D w 7e-06 vds 2.277778  (A),/NM0/D w 7e-06 vds 2.5  (A),/NM0/D w 1.3e-05 vds 0.5  (A),/NM0/D w 1.3e-05 vds 0.7222222  (A),/NM0/D w 1.3e-05 vds 0.9444444  (A),/NM0/D w 1.3e-05 vds 1.166667  (A),/NM0/D w 1.3e-05 vds 1.388889  (A),/NM0/D w 1.3e-05 vds 1.611111  (A),/NM0/D w 1.3e-05 vds 1.833333  (A),/NM0/D w 1.3e-05 vds 2.055556  (A),/NM0/D w 1.3e-05 vds 2.277778  (A),/NM0/D w 1.3e-05 vds 2.5  (A),/NM0/D w 1.9e-05 vds 0.5  (A),/NM0/D w 1.9e-05 vds 0.7222222  (A),/NM0/D w 1.9e-05 vds 0.9444444  (A),/NM0/D w 1.9e-05 vds 1.166667  (A),/NM0/D w 1.9e-05 vds 1.388889  (A),/NM0/D w 1.9e-05 vds 1.611111  (A),/NM0/D w 1.9e-05 vds 1.833333  (A),/NM0/D w 1.9e-05 vds 2.055556  (A),/NM0/D w 1.9e-05 vds 2.277778  (A),/NM0/D w 1.9e-05 vds 2.5  (A),/NM0/D w 2.5e-05 vds 0.5  (A),/NM0/D w 2.5e-05 vds 0.7222222  (A),/NM0/D w 2.5e-05 vds 0.9444444  (A),/NM0/D w 2.5e-05 vds 1.166667  (A),/NM0/D w 2.5e-05 vds 1.388889  (A),/NM0/D w 2.5e-05 vds 1.611111  (A),/NM0/D w 2.5e-05 vds 1.833333  (A),/NM0/D w 2.5e-05 vds 2.055556  (A),/NM0/D w 2.5e-05 vds 2.277778  (A),/NM0/D w 2.5e-05 vds 2.5  (A)
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
50.00E-3,-1.468E-6,-1.468E-6,-1.468E-6,-1.468E-6,-1.468E-6,-1.468E-6,-1.468E-6,-1.468E-6,-1.468E-6,-1.468E-6,-10.48E-6,-10.48E-6,-10.48E-6,-10.48E-6,-10.48E-6,-10.48E-6,-10.48E-6,-10.48E-6,-10.48E-6,-10.48E-6,-20.99E-6,-20.99E-6,-20.99E-6,-20.99E-6,-20.99E-6,-20.99E-6,-20.99E-6,-20.99E-6,-20.99E-6,-20.99E-6,-30.49E-6,-30.49E-6,-30.49E-6,-30.49E-6,-30.49E-6,-30.49E-6,-30.49E-6,-30.49E-6,-30.49E-6,-30.49E-6,-39.99E-6,-39.99E-6,-39.99E-6,-39.99E-6,-39.99E-6,-39.99E-6,-39.99E-6,-39.99E-6,-39.99E-6,-39.99E-6
100.0E-3,-2.766E-6,-2.766E-6,-2.766E-6,-2.766E-6,-2.766E-6,-2.766E-6,-2.766E-6,-2.766E-6,-2.766E-6,-2.766E-6,-19.75E-6,-19.75E-6,-19.75E-6,-19.75E-6,-19.75E-6,-19.75E-6,-19.75E-6,-19.75E-6,-19.75E-6,-19.75E-6,-39.55E-6,-39.55E-6,-39.55E-6,-39.55E-6,-39.55E-6,-39.55E-6,-39.55E-6,-39.55E-6,-39.55E-6,-39.55E-6,-57.45E-6,-57.45E-6,-57.45E-6,-57.45E-6,-57.45E-6,-57.45E-6,-57.45E-6,-57.45E-6,-57.45E-6,-57.45E-6,-75.36E-6,-75.36E-6,-75.36E-6,-75.36E-6,-75.36E-6,-75.36E-6,-75.36E-6,-75.36E-6,-75.36E-6,-75.36E-6
150.0E-3,-3.895E-6,-3.895E-6,-3.895E-6,-3.895E-6,-3.895E-6,-3.895E-6,-3.895E-6,-3.895E-6,-3.895E-6,-3.895E-6,-27.80E-6,-27.80E-6,-27.80E-6,-27.80E-6,-27.80E-6,-27.80E-6,-27.80E-6,-27.80E-6,-27.80E-6,-27.80E-6,-55.67E-6,-55.67E-6,-55.67E-6,-55.67E-6,-55.67E-6,-55.67E-6,-55.67E-6,-55.67E-6,-55.67E-6,-55.67E-6,-80.89E-6,-80.89E-6,-80.89E-6,-80.89E-6,-80.89E-6,-80.89E-6,-80.89E-6,-80.89E-6,-80.89E-6,-80.89E-6,-106.1E-6,-106.1E-6,-106.1E-6,-106.1E-6,-106.1E-6,-106.1E-6,-106.1E-6,-106.1E-6,-106.1E-6,-106.1E-6
200.0E-3,-4.854E-6,-4.854E-6,-4.854E-6,-4.854E-6,-4.854E-6,-4.854E-6,-4.854E-6,-4.854E-6,-4.854E-6,-4.854E-6,-34.65E-6,-34.65E-6,-34.65E-6,-34.65E-6,-34.65E-6,-34.65E-6,-34.65E-6,-34.65E-6,-34.65E-6,-34.65E-6,-69.37E-6,-69.37E-6,-69.37E-6,-69.37E-6,-69.37E-6,-69.37E-6,-69.37E-6,-69.37E-6,-69.37E-6,-69.37E-6,-100.8E-6,-100.8E-6,-100.8E-6,-100.8E-6,-100.8E-6,-100.8E-6,-100.8E-6,-100.8E-6,-100.8E-6,-100.8E-6,-132.3E-6,-132.3E-6,-132.3E-6,-132.3E-6,-132.3E-6,-132.3E-6,-132.3E-6,-132.3E-6,-132.3E-6,-132.3E-6
250.0E-3,-5.644E-6,-5.644E-6,-5.644E-6,-5.644E-6,-5.644E-6,-5.644E-6,-5.644E-6,-5.644E-6,-5.644E-6,-5.644E-6,-40.29E-6,-40.29E-6,-40.29E-6,-40.29E-6,-40.29E-6,-40.29E-6,-40.29E-6,-40.29E-6,-40.29E-6,-40.29E-6,-80.67E-6,-80.67E-6,-80.67E-6,-80.67E-6,-80.67E-6,-80.67E-6,-80.67E-6,-80.67E-6,-80.67E-6,-80.67E-6,-117.3E-6,-117.3E-6,-117.3E-6,-117.3E-6,-117.3E-6,-117.3E-6,-117.3E-6,-117.3E-6,-117.3E-6,-117.3E-6,-153.8E-6,-153.8E-6,-153.8E-6,-153.8E-6,-153.8E-6,-153.8E-6,-153.8E-6,-153.8E-6,-153.8E-6,-153.8E-6
300.0E-3,-6.269E-6,-6.269E-6,-6.269E-6,-6.269E-6,-6.269E-6,-6.269E-6,-6.269E-6,-6.269E-6,-6.269E-6,-6.269E-6,-44.74E-6,-44.74E-6,-44.74E-6,-44.74E-6,-44.74E-6,-44.74E-6,-44.74E-6,-44.74E-6,-44.74E-6,-44.74E-6,-89.59E-6,-89.59E-6,-89.59E-6,-89.59E-6,-89.59E-6,-89.59E-6,-89.59E-6,-89.59E-6,-89.59E-6,-89.59E-6,-130.3E-6,-130.3E-6,-130.3E-6,-130.3E-6,-130.3E-6,-130.3E-6,-130.3E-6,-130.3E-6,-130.3E-6,-130.3E-6,-170.9E-6,-170.9E-6,-170.9E-6,-170.9E-6,-170.9E-6,-170.9E-6,-170.9E-6,-170.9E-6,-170.9E-6,-170.9E-6
350.0E-3,-6.732E-6,-6.732E-6,-6.732E-6,-6.732E-6,-6.732E-6,-6.732E-6,-6.732E-6,-6.732E-6,-6.732E-6,-6.732E-6,-48.04E-6,-48.04E-6,-48.04E-6,-48.04E-6,-48.04E-6,-48.04E-6,-48.04E-6,-48.04E-6,-48.04E-6,-48.04E-6,-96.20E-6,-96.20E-6,-96.20E-6,-96.20E-6,-96.20E-6,-96.20E-6,-96.20E-6,-96.20E-6,-96.20E-6,-96.20E-6,-139.9E-6,-139.9E-6,-139.9E-6,-139.9E-6,-139.9E-6,-139.9E-6,-139.9E-6,-139.9E-6,-139.9E-6,-139.9E-6,-183.6E-6,-183.6E-6,-183.6E-6,-183.6E-6,-183.6E-6,-183.6E-6,-183.6E-6,-183.6E-6,-183.6E-6,-183.6E-6
400.0E-3,-7.046E-6,-7.046E-6,-7.046E-6,-7.046E-6,-7.046E-6,-7.046E-6,-7.046E-6,-7.046E-6,-7.046E-6,-7.046E-6,-50.28E-6,-50.28E-6,-50.28E-6,-50.28E-6,-50.28E-6,-50.28E-6,-50.28E-6,-50.28E-6,-50.28E-6,-50.28E-6,-100.7E-6,-100.7E-6,-100.7E-6,-100.7E-6,-100.7E-6,-100.7E-6,-100.7E-6,-100.7E-6,-100.7E-6,-100.7E-6,-146.5E-6,-146.5E-6,-146.5E-6,-146.5E-6,-146.5E-6,-146.5E-6,-146.5E-6,-146.5E-6,-146.5E-6,-146.5E-6,-192.2E-6,-192.2E-6,-192.2E-6,-192.2E-6,-192.2E-6,-192.2E-6,-192.2E-6,-192.2E-6,-192.2E-6,-192.2E-6
450.0E-3,-7.237E-6,-7.237E-6,-7.237E-6,-7.237E-6,-7.237E-6,-7.237E-6,-7.237E-6,-7.237E-6,-7.237E-6,-7.237E-6,-51.63E-6,-51.63E-6,-51.63E-6,-51.63E-6,-51.63E-6,-51.63E-6,-51.63E-6,-51.63E-6,-51.63E-6,-51.63E-6,-103.4E-6,-103.4E-6,-103.4E-6,-103.4E-6,-103.4E-6,-103.4E-6,-103.4E-6,-103.4E-6,-103.4E-6,-103.4E-6,-150.4E-6,-150.4E-6,-150.4E-6,-150.4E-6,-150.4E-6,-150.4E-6,-150.4E-6,-150.4E-6,-150.4E-6,-150.4E-6,-197.5E-6,-197.5E-6,-197.5E-6,-197.5E-6,-197.5E-6,-197.5E-6,-197.5E-6,-197.5E-6,-197.5E-6,-197.5E-6
