vds ,gm w 1e-06  (s),gm w 7e-06  (s),gm w 1.3e-05  (s),gm w 1.9e-05  (s),gm w 2.5e-05  (s)
500.0E-3,22.78E-6,162.6E-6,327.7E-6,477.5E-6,627.3E-6
722.2E-3,24.11E-6,172.1E-6,347.0E-6,505.9E-6,664.8E-6
944.4E-3,24.41E-6,174.3E-6,351.5E-6,512.4E-6,673.3E-6
1.167,24.58E-6,175.5E-6,353.8E-6,515.8E-6,677.9E-6
1.389,24.69E-6,176.3E-6,355.5E-6,518.2E-6,681.0E-6
1.611,24.78E-6,177.0E-6,356.8E-6,520.2E-6,683.6E-6
1.833,24.86E-6,177.5E-6,357.9E-6,521.8E-6,685.7E-6
2.056,24.93E-6,178.0E-6,358.9E-6,523.3E-6,687.7E-6
2.278,25.00E-6,178.5E-6,359.9E-6,524.7E-6,689.5E-6
2.500,25.06E-6,179.0E-6,360.8E-6,526.0E-6,691.2E-6
