vds ,E2 w 1e-06 ,E2 w 7e-06 ,E2 w 1.3e-05 ,E2 w 1.9e-05 ,E2 w 2.5e-05 
500.0E-3,68.08E3,9.543E3,4.764E3,3.274E3,2.494E3
722.2E-3,96.18E3,13.48E3,6.728E3,4.623E3,3.521E3
944.4E-3,124.6E3,17.47E3,8.718E3,5.991E3,4.563E3
1.167,153.0E3,21.44E3,10.70E3,7.353E3,5.601E3
1.389,181.2E3,25.39E3,12.67E3,8.707E3,6.632E3
1.611,209.2E3,29.31E3,14.63E3,10.05E3,7.657E3
1.833,237.0E3,33.20E3,16.57E3,11.39E3,8.674E3
2.056,264.5E3,37.07E3,18.50E3,12.71E3,9.684E3
2.278,291.9E3,40.90E3,20.42E3,14.03E3,10.69E3
2.500,319.0E3,44.70E3,22.31E3,15.33E3,11.68E3
